Row ID,Marine Park,Reef site,Long,Lat,Year,Year MPA established,Time since closure,Mean biomass,SD biomass,Mean biomass/ha,SD biomass/ha,Rugosity,Benthic PCA1,Net primary productivity mean,Thermal stress anomally  max
1,Kisite,Kisite,39.38113,-4.71559,1995,1973,22,407.605,91.75805224,815.21,183.5161045,1.448020239,2.460909533,989.3159544,0.254246623
2,Kisite,Kisite,39.38113,-4.71559,2004,1973,31,782.3433333,250.7705916,1564.686667,501.5411831,1.2,0.972016128,989.3159544,-0.397086711
3,Kisite,Kisite,39.38113,-4.71559,2006,1973,33,720.58,261.2239408,1441.16,522.4478817,1.2,1.036118825,989.3159544,0.07435415
4,Kisite,Kisite,39.38113,-4.71559,2009,1973,36,917.5125,318.0799997,1835.025,636.1599994,1.3,1.701964872,989.3159544,0.678579956
5,Kisite,Kisite 2,39.38113,-4.71559,2012,1973,39,455.9537777,39.87384408,911.9075555,79.74768815,1.2,2.203930292,989.3159544,-0.140161979
6,Kisite,Kisite 1,39.38113,-4.71559,2012,1973,39,771.0015725,223.2340473,1542.003145,446.4680947,1.2,2.203930292,989.3159544,-0.140161979
7,Kisite,Kisite Edge 2,39.38113,-4.71559,2013,1973,40,374.432106,140.5038326,748.8642121,281.0076652,1.237586665,1.156850941,989.3159544,0.273913289
8,Kisite,Kisite Edge 1,39.38113,-4.71559,2013,1973,40,680.5711411,30.86322645,1361.142282,61.72645289,1.237586665,1.156850941,989.3159544,0.273913289
9,Kisite,Kisite 1,39.38113,-4.71559,2015,1973,42,817.4226289,NA,1634.845258,NA,1.25,1.819324299,989.3159544,0.698913289
10,Kisite,Kisite 2,39.38113,-4.71559,2015,1973,42,1175.805919,NA,2351.611838,NA,1.25,1.819324299,989.3159544,0.698913289
11,Malindi,Malindi,40.14704,-3.24628,1992,1968,24,558.274,85.08828139,1116.548,170.1765628,1.233333333,-0.001230607,2113.900745,0.236130804
12,Malindi,Malindi,40.14704,-3.24628,1993,1968,25,697.932,74.26655284,1395.864,148.5331057,1.3,0.046408539,2113.900745,-0.059729411
13,Malindi,Malindi,40.14704,-3.24628,1994,1968,26,1255.505,148.6884944,2511.01,297.3769888,1.3,-0.210619091,2113.900745,-0.092062744
14,Malindi,Malindi,40.14704,-3.24628,1995,1968,27,909.37,184.8337139,1818.74,369.6674278,1.315011735,0.148740284,2113.900745,0.398937256
15,Malindi,Malindi,40.14704,-3.24628,1996,1968,28,846.5475,152.8130508,1693.095,305.6261016,1.3,0.32775022,2113.900745,-0.216062744
16,Malindi,Malindi,40.14704,-3.24628,1997,1968,29,675.2275,109.0595658,1350.455,218.1191316,1.25,-0.192558054,2113.900745,0.166937256
17,Malindi,Malindi,40.14704,-3.24628,1999,1968,31,896.075,94.11868553,1792.15,188.2373711,1.35,-0.50036881,2113.900745,0.201937256
18,Malindi,Malindi,40.14704,-3.24628,2000,1968,32,466.56,110.3008906,933.12,220.6017812,1.35,-1.844600219,2113.900745,-0.07580468
19,Malindi,Malindi,40.14704,-3.24628,2001,1968,33,679.415,203.058436,1358.83,406.116872,1.3,-2.338235007,2113.900745,-0.481933712
20,Malindi,Malindi,40.14704,-3.24628,2002,1968,34,537.675,136.7234244,1075.35,273.4468487,1.35,-2.832281869,2113.900745,1.208937256
21,Malindi,Malindi,40.14704,-3.24628,2004,1968,36,562.3875,87.89821931,1124.775,175.7964386,1.3,-1.912631369,2113.900745,-0.409062744
22,Malindi,Malindi,40.14704,-3.24628,2005,1968,37,942.55,NA,1885.1,NA,1.3,-2.199544903,2113.900745,-0.013062744
23,Malindi,Malindi,40.14704,-3.24628,2006,1968,38,736.15,196.3758602,1472.3,392.7517204,1.3,-1.393577073,2113.900745,-0.063224034
24,Malindi,Malindi,40.14704,-3.24628,2007,1968,39,995.3375,137.9860334,1990.675,275.9720669,1.3,-1.769084443,2113.900745,0.432937256
25,Malindi,Malindi,40.14704,-3.24628,2009,1968,41,706.485,31.95415544,1412.97,63.90831088,1.25,-0.586684046,2113.900745,0.562603923
