traits,labels,group
Activity1,Diurnal,1
Activity2,Diurnal/nocturnal,1
DietFC,Piscivorous,2
DietHD,Herbivorous-detritivorous,2
DietHM,Herbivorous-macro-algae,2
DietIM,Intvertivorous mobile,2
DietIS,Invertivorous sessile,2
DietOM,Omnivorous,2
DietPK,Planktivorous,2
Lm,Length at maturity,3
Position1,Bottom-dweller ,4
Position2,Low in water column,4
Position3,Pelagic,4
Reef.AssociationHigh,High reef association,5
Reef.AssociationLow,Low reef association,5
Reef.AssociationMed,Medium reef association,5
Schooling1,Solitary,6
Schooling2,Pairing,6
Schooling3,Small group ,6
Schooling4,Medium group,6
Schooling5,Large group,6
Size1,0-7cm ,7
Size2,7.1-15cm ,7
Size3,15.1- 30cm ,7
Size4,30.1-50cm ,7
Size5,50.1-80cm ,7
Size6,>80cm,7
